sentence_id,1-gram_add1,1-gram_addk,1-gram_tokentype,2-gram_add1,2-gram_addk,2-gram_tokentype,3-gram_add1,3-gram_addk,3-gram_tokentype,4-gram_add1,4-gram_addk,4-gram_tokentype
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,8.824935426167147e-164,4.427902499436474e-163,3.1283785289000713e-212,7.79087656714713e-187,3.449840539590374e-176,6.631604194821445e-208,2.0652295535523654e-196,2.473586314929769e-186,2.6406143260542244e-201,1.6679372275893735e-198,1.1275615154910802e-188,1.651301905538201e-199
68,1.226425716759791e-25,1.708590022439501e-25,1.0760963896896603e-28,2.1527640360782285e-27,5.307589493462666e-26,2.9905497234956855e-28,1.3630870844335439e-27,5.518345086747562e-26,1.3630870844335439e-27,6.81610157752127e-28,3.679615891094895e-26,6.81610157752127e-28
69,2.615047335242399e-113,1.8126219684072962e-112,1.2198459748095614e-148,2.0865748472103193e-127,3.3153826133972565e-119,7.044987684980703e-145,1.1048409952984547e-135,3.6748872261530997e-128,8.093803314710574e-141,5.507409040767674e-138,1.0297860764073817e-130,3.829201763688399e-139
70,4.70214919685624e-29,1.245722805557506e-28,1.1021863505526825e-36,1.5379908093310399e-34,9.357610822601892e-33,1.732493690869741e-36,5.207898736924707e-35,4.742915819323193e-33,5.207898736924707e-35,2.604203884088242e-35,3.162561989973885e-33,2.604203884088242e-35
71,2.955872772002203e-179,8.009820306929013e-179,1.7461923011124428e-224,4.3268630136164886e-200,4.263272198429363e-189,1.1534045566222683e-219,1.109409677185499e-208,2.705141948405536e-198,8.679814651911397e-213,1.246723176087102e-209,2.8461563898667353e-199,4.6770398161450234e-210
72,1.0443211382777645e-209,1.2847452954152984e-208,2.2591196520975072e-272,7.864168159441785e-239,3.928400185035501e-225,4.271867586324567e-267,1.0633582073381804e-252,4.089934322301141e-240,8.835467704967819e-259,5.814670537602553e-254,1.9106778459536487e-241,1.8182686874711617e-254
73,1.694398544729846e-177,7.676676238330651e-177,1.6310221509381874e-224,1.6682390771906222e-193,4.326214718911324e-182,9.264147311551312e-218,4.055395549525455e-205,2.4427923271435247e-194,3.610681752790278e-211,6.262454652048901e-209,2.1621390927990367e-198,4.0936651187175656e-210
74,7.56359430674501e-255,5.0106147200344634e-253,0.0,7.191057727902609e-292,1.5758414738360247e-272,0.0,6.23e-322,4.390748863446334e-305,0.0,0.0,9.67759343349e-312,0.0
75,5.6556330629667134e-61,6.648486302018149e-61,9.996967744308945e-69,3.845158225444668e-62,9.45393712327799e-59,2.026835755443702e-65,1.103687166214373e-64,2.5600996356135713e-61,1.991782365040837e-65,5.549204066395556e-65,1.725779443818928e-61,5.549204066395556e-65
76,7.669664919566898e-257,1.7680382153564877e-255,0.0,1.7528028704504756e-286,1.740181380481494e-269,1.33e-321,1.035302771265304e-303,1.6303331863000573e-288,3.2007693973316e-311,4.602375771279706e-306,3.96411745970022e-291,4.178807666314068e-307
77,8.085265432612006e-37,1.2086302889685757e-36,1.3852682381662524e-44,4.448023231464372e-42,4.820548912701158e-40,6.066106487417995e-44,1.989374644623361e-42,4.074855836914203e-40,1.3265089987669712e-42,9.949789909625391e-43,2.7181636987254877e-40,9.949789909625391e-43
78,3.7666955853926036e-271,6.322306585327026e-270,0.0,2.7274951537474143e-297,1.983966457628723e-279,0.0,4.30525e-318,4.781779556208558e-302,0.0,1.512e-320,8.134235128250045e-305,7.26e-322
79,3.173647612885179e-213,2.3334268787184434e-212,2.1565472200114845e-276,5.889404538741136e-239,6.573960595583211e-225,7.632137630919168e-271,3.0109527512946027e-254,3.355087055136443e-241,7.133841844472962e-262,7.559366726910092e-258,3.345206485308461e-245,6.313584469776688e-259
80,8.827307039986804e-44,4.021504169132873e-43,1.2954647406716998e-60,1.7933500031999255e-49,7.262095532896096e-46,1.8651441095760592e-59,1.004234113707443e-55,2.1029073368776623e-52,1.6525037388750813e-58,1.4515671118097814e-57,2.0055778588039067e-54,3.6310462116706316e-58
